Name	CUTOS	CUTOT	CUTOU	CUTOW	CUTOX	CWYAU
Pp3c5_3160V3.4	0	1.70864	0	0	0	0.298371
Pp3c24_13850V3.1	6.16593	7.93514	5.92805	1.90546	1.14726	2.08005
jgi|MorGBAus27b_1|444558|fgenesh1_kg.7_#_1022_#_TRINITY_DN7204_c0_g1_i1	0	0	0.060692	0	0	0.10251
jgi|MorGBAus27b_1|132381|CE132380_1897	0	0	0	0	0	0
Pp3c5_7650V3.2	6.42157	4.83573	6.05293	6.20629	4.23452	3.31161
Pp3c5_30V3.2	1.17503	0	0	0	0	0
Pp3c5_16830V3.1	8.18365	8.64839	8.68513	7.28847	8.39537	1.79139
Pp3c5_9420V3.1	3.83961	3.6906	4.48213	7.03559	8.7124	2.13031
Pp3c12_10907V3.1	29.9933	20.7568	27.9414	14.8984	11.7293	23.8921
Pp3c5_21722V3.2	0	0	0	0	0	2.40486
jgi|MorGBAus27b_1|490920|estExt_fgenesh1_pg.C_450005	0	0	0	0	0	0
Pp3c5_13260V3.1	2.56604	1.84821	2.00834	3.3362	4.30196	0.921754
jgi|MorGBAus27b_1|424403|fgenesh1_pg.7_#_193	0	0.022218	0.024042	0	0	0.015287
Pp3c5_10940V3.1	0	0	0	0	0	0
Pp3c5_10750V3.1	15.3799	12.8544	16.5231	19.3561	12.5906	9.09017
Pp3c5_16240V3.1	3.28995	2.8875	3.41035	3.90432	3.23466	1.72238
Pp3c5_16420V3.1	24.2979	22.4007	21.9312	37.499	31.223	8.35432
Pp3c5_26190V3.2	7.83961	3.80437	10.1828	8.59742	7.69902	1.13244
Pp3c5_26800V3.1	0	0	0	0	0	0
Pp3c14_23520V3.18	0	1.50517	0	0	0	0
jgi|MorGBAus27b_1|26319|CE26318_624	0	0.102522	0.11717	0	0	0.344649
Pp3c5_28951V3.1	0	0	0	0	0	0
Pp3c5_28670V3.3	0	0	0	0	0	0
Pp3c13_22920V3.2	5.69475	2.32239	5.10663	3.85041	2.00093	5.83406
Pp3c2_28020V3.1	10.3493	10.2083	11.2727	11.3884	12.1455	8.28929
Pp3c5_23510V3.1	1.15018	2.61193	0.624992	0.602335	1.7679	1.58328
jgi|MorGBAus27b_1|391569|e_gw1.39.41.1	0	0	0.033544	0	0	0
Pp3c5_14890V3.1	0	0	0	0	0	0
Pp3c5_14860V3.11	0	0	0	0	0	0
Pp3c10_21880V3.1	3.285	2.28926	3.12658	8.04543	5.15044	1.2455
Pp3c5_14860V3.5	0.162085	0	0	0	0	0
jgi|MorGBAus27b_1|477926|fgenesh1_pm.8_#_69	0.019787	0.764981	1.40358	0	0.042614	1.38298
Pp3c19_22420V3.2	3.31564	2.55081	2.88875	3.35215	2.50991	1.59421
Pp3c5_23830V3.1	2.8435	2.24464	2.65052	1.57316	3.83187	0.275408
Pp3c1_5030V3.1	2.10663	1.97763	2.81283	2.95849	2.81564	1.09337
Pp3c23_5190V3.1	0	0	0	0	0	0
Pp3c5_18920V3.5	0.663163	1.15309	0.114643	0.560901	1.75834	0.067369
Pp3c5_17340V3.3	0	0	0	0	0	2.93253
Pp3c19_3840V3.13	0.18143	0	0.202455	0	0.192234	65.2827
Pp3c9_10810V3.1	4.48874	4.84402	6.97367	5.33058	8.99238	1.61165
jgi|MorGBAus27b_1|478629|fgenesh1_pm.18_#_5	0	0.197617	0.366306	0	0	0.255991
Pp3c5_3790V3.19	0	0	0	0	0.104136	0
Pp3c5_3790V3.16	0.221137	0.14956	0.195533	0.45061	0.202644	0
Pp3c5_25010V3.1	54.6479	60.9206	63.7123	51.2485	53.3524	48.8902
