Name	CUTON	CUTOO	CUTOP
Pp3c16_6910V3.2	1.96529	1.48836	1.65933
Pp3c16_11590V3.1	0.156577	0.07419	0.020537
Pp3c16_4170V3.1	1.12563	0	0.836116
Pp3c16_17669V3.1	2.73575	2.39269	0.686873
Pp3c16_25170V3.3	6.77788	4.69715	0
Pp3c16_25170V3.1	34.7406	43.4911	47.3992
Pp3c16_14087V3.1	1.10724	0.505411	0.200361
Pp3c16_19040V3.1	0	0.128546	0.162266
Pp3c16_25700V3.1	28.5988	31.8683	38.1272
Pp3c16_16220V3.6	0	0.923584	1.08429
Pp3c16_16220V3.1	1.42954	0.286122	0
Pp3c16_10080V3.1	0	0	0
Pp3c16_11870V3.1	0.071064	0	0
Pp3c16_11870V3.2	0	0.008901	0
Pp3c16_11870V3.5	0	0	0
Pp3c16_15118V3.3	1.23297	2.21792	1.02828
Pp3c16_15118V3.1	2.45358	0	0
Pp3c16_6030V3.1	0	0	0
Pp3c16_20050V3.1	0	0	0
Pp3c16_20050V3.6	2.68348	3.55123	0.46684
Pp3c16_2200V3.1	0	0	0.025209
Pp3c16_20170V3.4	5.31154	4.35554	0.444576
Pp3c16_2520V3.3	0	0	0
Pp3c16_7800V3.1	0	1.37554	0
Pp3c16_2240V3.1	8.21798	6.79513	8.63702
Pp3c16_6290V3.1	9.71494	7.6699	10.0013
Pp3c16_20939V3.1	0.116506	0	0
Pp3c16_16950V3.1	8.04459	6.47363	7.6589
Pp3c16_12741V3.1	0	0	0
Pp3s755_30V3.1	10.2614	15.7409	7.21216
Pp3c16_13680V3.1	0	0	0
Pp3c16_3670V3.1	5.7897	8.1995	4.10688
Pp3c16_23150V3.2	0.831163	1.20164	0.544043
Pp3c16_14880V3.1	0	0	0
Pp3c16_10270V3.1	0	0	0
Pp3c16_16740V3.1	3.11827	2.07998	1.53789
Pp3c16_16920V3.1	0	0	0
Pp3c16_4940V3.1	0	0	0.279585
Pp3c16_2330V3.1	24.6486	19.1223	7.03256
Pp3c16_7409V3.1	0.198702	0.61062	1.11007
Pp3c16_3330V3.1	15.0357	26.3458	44.8927
Pp3c16_5160V3.1	1.46971	1.01579	0.87854
Pp3c16_706V3.1	0	0	0
Pp3c16_1670V3.1	12.7391	14.2857	13.8315
Pp3c16_9280V3.1	0	0	0
Pp3c16_5120V3.1	0.384099	0.248345	0.148373
Pp3c16_5120V3.2	1.30368	0.896302	0.789879
Pp3c16_20740V3.1	16.5777	13.6123	21.8063
Pp3c16_16710V3.4	11.7465	8.79832	10.9279
Pp3c16_10600V3.1	6.69269	7.07542	7.27758
Pp3c16_8700V3.4	1.06496	0.249287	0.894584
Pp3c16_15200V3.1	0	0	0
Pp3c16_630V3.1	50.0355	46.3535	44.4237
Pp3c16_23630V3.1	1.3356	2.73964	6.69421
Pp3c16_23630V3.2	0.756585	0.99671	1.53439
Pp3c16_16520V3.1	3.61339	3.24773	3.6822
Pp3c16_12890V3.1	0	0.503758	0.229832
Pp3c16_8290V3.1	0.781151	1.35855	0.999029
Pp3c16_15490V3.2	74.9835	47.1706	156.722
Pp3c16_15490V3.1	129.156	111.253	68.1234
Pp3c16_10620V3.1	0	0	0
Pp3c16_11850V3.7	0.050075	0	0
Pp3c16_11850V3.5	0	0	0.473156
Pp3c16_11850V3.6	0.928146	0.891482	0
Pp3c16_1080V3.1	3.3533	3.39948	3.64865
Pp3c16_3680V3.1	1.33975	2.40383	1.06611
Pp3c16_21700V3.2	13.0749	18.13	10.2277
Pp3c16_7420V3.1	0	0	0
Pp3c16_7420V3.2	0	0	1.28613
Pp3c16_7420V3.3	1.96578	1.72082	0.893991
Pp3c16_210V3.1	2.30178	1.98422	1.48942
Pp3c16_15900V3.1	0.716654	0.381415	0.275499
Pp3c16_9890V3.2	0	1.20845	4.93379
Pp3c16_9890V3.1	13.0283	8.12393	5.32225
Pp3c16_11960V3.1	145.979	151.161	135.901
Pp3c16_7170V3.3	6.37257	4.42601	10.1621
Pp3c16_7170V3.1	10.0691	8.81787	4.43998
Pp3c16_8550V3.1	0	0	0.404783
Pp3c16_16080V3.1	0.551428	0.449292	0.255019
Pp3c16_7670V3.1	0	0	0
Pp3c16_140V3.1	0	0	0
Pp3c16_7960V3.1	0	0	0
Pp3c16_7320V3.1	1.51885	0.912323	1.56555
Pp3c16_3320V3.1	6.68582	6.69851	9.56414
Pp3c16_9711V3.1	0.330296	1.60427	0.494133
Pp3c16_12120V3.2	1.93659	0	3.42028
Pp3c16_20890V3.1	109.88	104.585	118.784
Pp3c16_5630V3.1	4.18841	6.56513	6.09293
Pp3c16_21430V3.1	5.91605	6.35362	5.79383
Pp3c16_12630V3.1	33.5176	36.6882	26.064
Pp3c16_3940V3.3	1.78614	1.66945	0
Pp3c16_770V3.1	0	0	0
Pp3c16_6690V3.1	4.3484	3.62025	3.78018
Pp3c16_9260V3.1	0.132074	0.060289	0.055992
Pp3c16_9260V3.2	0	0	0
Pp3c16_6415V3.1	3.21848	6.41262	5.17976
Pp3c16_3920V3.3	0	0.339633	2.1193
Pp3c16_13530V3.1	0	0.552506	0
Pp3c16_2390V3.1	0.351807	0.62346	0.660467
Pp3c16_17480V3.1	127.298	158.056	84.3141
Pp3c16_11010V3.1	0	0	0
Pp3c16_20930V3.1	4.7657	8.88988	5.47584
Pp3c16_20930V3.3	17.0098	30.8645	19.904
Pp3c16_5380V3.1	0.124482	0.164106	0
Pp3c16_4070V3.1	3.15644	1.93715	3.76942
Pp3c16_22830V3.1	71.5399	67.856	89.4114
Pp3c16_16640V3.1	1.59818	3.12581	5.62782
Pp3c16_360V3.1	0.217644	0.219026	0
