Name	CUTOZ	CUTPA	CUTPB	CUTPC	CUTPG	CUTPH
jgi|MoeNVP64_1|45307|CE44786_1467	0	0	0	0.511811	0.2752	5.69526
jgi|MoeNVP64_1|45037|CE44516_4804	0	0	0	0.792802	0.43969	3.07449
jgi|MoeNVP64_1|45007|CE44486_983	0	0	0	0.059094	0.057018	0.795491
jgi|MoeNVP64_1|45006|CE44485_987	0	0	0	0.160105	0.263145	0.456975
jgi|MoeNVP64_1|44804|CE44283_2085	0	0	0	0.070341	0.152479	0.719775
jgi|MoeNVP64_1|44769|CE44248_800	0	0	0	0.22242	0.239953	0.578441
jgi|MoeNVP64_1|44442|CE43921_2823	0	0	0	0.038483	0.022812	0.11223
jgi|MoeNVP64_1|43900|CE43379_222	0	0	0	0.007791	0	0
jgi|MoeNVP64_1|41997|CE41476_1142	0	0	0	0.455602	0.392143	1.62115
jgi|MoeNVP64_1|419354|estExt_fgenesh1_pg.C_280009	0	0	0	0	0	0
jgi|MoeNVP64_1|419343|estExt_fgenesh1_pg.C_270018	0	0	0	0	0	0
jgi|MoeNVP64_1|419332|estExt_fgenesh1_pg.C_270006	0	0	0	0	0	0.010009
jgi|MoeNVP64_1|419304|estExt_fgenesh1_pg.C_260019	0	0	0	0	0	0
jgi|MoeNVP64_1|419301|estExt_fgenesh1_pg.C_260015	0	0	0	0	0	0.016284
jgi|MoeNVP64_1|419227|estExt_fgenesh1_pg.C_240081	0	0	0	0	0	0.072281
jgi|MoeNVP64_1|419220|estExt_fgenesh1_pg.C_240073	0	0	0	0	0	0
jgi|MoeNVP64_1|419182|estExt_fgenesh1_pg.C_240026	0	0	0	0.030279	0	0.117054
jgi|MoeNVP64_1|419149|estExt_fgenesh1_pg.C_230123	0	0	0	0.061925	0	0
jgi|MoeNVP64_1|419063|estExt_fgenesh1_pg.C_230012	0	0	0	0.217453	0.189318	1.48743
jgi|MoeNVP64_1|419017|estExt_fgenesh1_pg.C_220170	0	0	0	9.774	4.58677	32.6481
jgi|MoeNVP64_1|419001|estExt_fgenesh1_pg.C_220152	0	0	0	0	0	0
jgi|MoeNVP64_1|419000|estExt_fgenesh1_pg.C_220151	0	0	0	0	0	0.008688
jgi|MoeNVP64_1|418960|estExt_fgenesh1_pg.C_220109	0	0	0	0.887402	0.40848	3.38247
jgi|MoeNVP64_1|418899|estExt_fgenesh1_pg.C_220047	0	0	0	0	0	0.2441
jgi|MoeNVP64_1|418838|estExt_fgenesh1_pg.C_210205	0	0	0	0	0	0
jgi|MoeNVP64_1|418837|estExt_fgenesh1_pg.C_210204	0	0	0	0.072084	0.086451	0.430667
jgi|MoeNVP64_1|418821|estExt_fgenesh1_pg.C_210186	0	0	0	0.288069	0.434069	3.51114
jgi|MoeNVP64_1|418749|estExt_fgenesh1_pg.C_210108	0	0	0	0.036298	0.110079	0.797764
jgi|MoeNVP64_1|418740|estExt_fgenesh1_pg.C_210099	0	0	0	0.188461	0.213667	1.2671
jgi|MoeNVP64_1|418716|estExt_fgenesh1_pg.C_210073	0	0	0	2.39536	0.805046	11.9609
jgi|MoeNVP64_1|418681|estExt_fgenesh1_pg.C_210035	0	0	0	0.851355	0.467698	3.09506
jgi|MoeNVP64_1|418653|estExt_fgenesh1_pg.C_210006	0	0	0	3.72432	1.52373	12.5068
jgi|MoeNVP64_1|418643|estExt_fgenesh1_pg.C_200220	0	0	0	0	0	0
jgi|MoeNVP64_1|418634|estExt_fgenesh1_pg.C_200206	0	0	0	0	0	0
jgi|MoeNVP64_1|418628|estExt_fgenesh1_pg.C_200198	0	0	0	0	0	0
jgi|MoeNVP64_1|418577|estExt_fgenesh1_pg.C_200136	0	0	0	0	0.03291	0.049011
jgi|MoeNVP64_1|418539|estExt_fgenesh1_pg.C_200097	0	0	0	0.211739	0.102977	2.08757
jgi|MoeNVP64_1|418522|estExt_fgenesh1_pg.C_200075	0	0	0	1.62824	2.27962	16.6428
jgi|MoeNVP64_1|418471|estExt_fgenesh1_pg.C_200016	0	0	0	1.0882	1.13659	5.9878
